Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2
78477959700086;0772547A;FEDERATION COMPAGNONNIQUE REGIONALE D' ILE DE FRANCE;;11750060875;actif;responsable_formateur;2 Route de Guermantes 77400 Saint-Thibault-des-Vignes;Créteil;Île-de-France;Oui;;COMP_DU_TOUR_DE_FRANCE;2;1;2021-12-17;0772547A;0772547A;
41893313100033;0741557R;FEDERATION COMPAGNONNIQUE REGIONALE DES PAYS DE SAVOIE;;82740078474;actif;responsable_formateur;29 Rue des sports 74600 Annecy;Grenoble;Auvergne-Rhône-Alpes;Oui;;COMP_DU_TOUR_DE_FRANCE;;1;2021-12-17;0741557R;0741557R;
78184280200048;0333240T;FEDER COMPAGNONNIQUE BATIMENT;;72330004233;actif;responsable_formateur;Avenue Jean Alfonsea 33270 Floirac;Bordeaux;Nouvelle-Aquitaine;Oui;;COMP_DU_TOUR_DE_FRANCE;;1;2021-12-17;0333240T;0333240T;
77986700100058;0693694R;FEDERATION  COMPAGNONNIQUE REGIONALE DE LYON;;82690008769;actif;responsable_formateur;49 Rue Feuillat 69003 Lyon;Lyon;Auvergne-Rhône-Alpes;Oui;;COMP_DU_TOUR_DE_FRANCE;;1;2021-12-17;0693694R;0693694R;0772547A
78215182300062;0471029N;FEDER COMPAGNON METIERS BATIMENT;;72470000447;actif;responsable_formateur;6 Rue Jean Baptiste Peres 47000 Agen;Bordeaux;Nouvelle-Aquitaine;Oui;;COMP_DU_TOUR_DE_FRANCE;1;5;2021-12-17;0471029N;0471029N;
77807081300028;0870623E;FEDER COMPAGNONNIQUE METIERS BATIMENT;;74870001387;actif;responsable_formateur;5 rue de la Règle 87000 Limoges;Limoges;Nouvelle-Aquitaine;Oui;;COMP_DU_TOUR_DE_FRANCE;;1;2021-12-17;0870623E;0870623E;
82431025400019;0642033M;COMPAGNONS DU TOUR DE FRANCE NOUVELLE AQUITAINE;;;actif;inconnue;3 Allée de l' Eglise 64600 Anglet;Bordeaux;Nouvelle-Aquitaine;Non;;COMP_DU_TOUR_DE_FRANCE;;;2021-12-17;0642033M;0642033M;
81893333500015;0624240X;FEDERATION COMPAGNONNIQUE DES METIERS DU BATIMENT ET AUTRES ACTIVITES NORD PAS DE CALAIS PICARDIE;;32620280762;actif;formateur;23 Avenue Paul Michonneau 62000 Arras;Lille;Hauts-de-France;Oui;;COMP_DU_TOUR_DE_FRANCE;2;1;2021-12-17;0624240X;0596711Z;0624240X
31521327200067;0451582A;FEDERATION COMPAGNONNIQUE REGIONALE D'ORLEANS;;24450007645;actif;responsable_formateur;Rue Gustave Eiffel 45380 La Chapelle-Saint-Mesmin;Orléans-Tours;Centre-Val de Loire;Oui;;COMP_DU_TOUR_DE_FRANCE;;1;2021-12-17;0451582A;0451582A;
30707155500030;0442233N;FORMATION COMPAGNONNIQUE METIER BATIMENT;;52440000144;actif;responsable_formateur;238 Rue de la Pyramide 44230 Saint-Sébastien-sur-Loire;Nantes;Pays de la Loire;Oui;;COMP_DU_TOUR_DE_FRANCE;;1;2021-12-17;0442233N;0312504D;0442233N
77950722700048;0383174U;FEDERATION COMPAGNONNIQUE REGIONALE DE GRENOBLE;;82380002638;actif;responsable_formateur;15 Avenue de Grugliasco 38130 Échirolles;Grenoble;Auvergne-Rhône-Alpes;Oui;;COMP_DU_TOUR_DE_FRANCE;;2;2021-12-17;0383174U;0383174U;
77694482900030;0312504D;FEDERATION COMPAGNONNIQUE REGIONALE OCCITANIE;;73310002131;actif;responsable_formateur;10 Rue Agricol Perdiguier 31830 Plaisance-du-Touch;Toulouse;Occitanie;Oui;;COMP_DU_TOUR_DE_FRANCE;;2;2021-12-17;0312504D;0312504D;
78296445600019;0134297A;FEDERATION COMPAGNONNIQUE REGIONALE DE MARSEILLE;;93130699013;actif;responsable_formateur;7 Boulevard pons 13014 Marseille;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;;COMP_DU_TOUR_DE_FRANCE;;1;2021-12-17;0134297A;0134297A;0642033M
40350234700012;0391131T;INSTITUT EUROPEEN DE FORMATION;;43390038939;actif;responsable_formateur;2 Rue Léopold Alixant 39330 Mouchard;Besançon;Bourgogne-Franche-Comté;Oui;;COMP_DU_TOUR_DE_FRANCE;;1;2021-12-17;0391131T;0391131T;0730878H
